x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
-3.7,0.0840222628239476,0.0329533550971834,0.0171389897521272,0.00699970348784956,0.00382749568560567,0.00205424841002011,0.0010695442714413,0.00070860938068664,0.000268544927620511,0.00017637331839268,0.000113675658136845,0.000108377969748023
-3.6,0.0862450610930792,0.0346210790044828,0.0183811038020314,0.00777162846538426,0.0043699090748202,0.00242395384148225,0.00131283051261121,0.000894170997035095,0.000364976995843094,0.000248591811905399,0.000166918333975884,0.000159878597369569
-3.5,0.0885855327829047,0.0364136750272347,0.0197405188096414,0.00864221589264668,0.00499652044094277,0.00286325271494261,0.00161176547189725,0.00112756157652858,0.00049404250331281,0.000348213858678134,0.000242887172983916,0.000233642245933462
-3.4,0.0910530018557488,0.0383433703954669,0.0212306617529478,0.00962552179192908,0.00572124311098388,0.00338553621216898,0.00197889155446471,0.00142067896682223,0.00066594570443755,0.000484684472182692,0.000350243562080759,0.000338246370954895
-3.3,0.0936577709318793,0.040423846901834,0.0228667253179993,0.010737750149999,0.00656035746921906,0.00400674905684917,0.00242945328776408,0.00178819135984812,0.000893746043400667,0.000670309760980048,0.000500498362501044,0.000485115622163142
-3.2,0.0964112479792296,0.0426704396199764,0.0246659214813481,0.0119975884016502,0.00753290567124466,0.00474584789765193,0.00298192424276599,0.00224810777735907,0.00119403000855639,0.000920971257941528,0.000708769152158779,0.000689283643683823
-3.1,0.0993260921991185,0.0451003650650944,0.026647772307168,0.0134265920950176,0.00866114471274876,0.00562532860804171,0.00365861528745556,0.0028224384695621,0.001587695499201,0.00125696358825691,0.000994672765561048,0.000970291509781
-3,0.102416382349567,0.0477329831333546,0.0288344428112187,0.0150496239487313,0.00997106306599626,0.00667182751128479,0.00448636873861166,0.00353794939560555,0.00210085159353412,0.00170395767166473,0.00138335452211909,0.00135322409499883
-2.9,0.105697811319826,0.0505900976540359,0.0312511209983227,0.0168953521348859,0.0114929650761948,0.00791679964890456,0.00549733993643522,0.00442701105468249,0.00276583026247825,0.00229408406467202,0.0019066465221405,0.00186987650411655
-2.8,0.10918791143363,0.0536963008556632,0.0339264502420704,0.0189968117277826,0.0132621254900538,0.00939727418874634,0.00672986321000329,0.00552853626941469,0.00362229787119856,0.0030671208591824,0.00260433554643708,0.00256003065841479
-2.7,0.11290631572035,0.057079367425769,0.0368930189200303,0.0213920316203569,0.0153195135820996,0.0111566825817385,0.00822939278287033,0.00688899375697899,0.00471844304330039,0.00407175765970435,0.00352550645108882,0.00347280729780853
-2.6,0.116875061252343,0.0607707040403341,0.0401879114661639,0.02412472653479,0.0177125820027162,0.0132457487570475,0.0100495005550966,0.00856347418258866,0.0061122036070079,0.00536689169736947,0.00472990983682683,0.00466804137011244
-2.5,0.121118941590843,0.0648058601107554,0.0438533235040328,0.0272450496711881,0.0204961092928764,0.0157234221183044,0.0122529016232569,0.0106167727195662,0.00787247913656,0.00702289456203858,0.0062892839005454,0.00621760977529185
-2.4,0.125665916378002,0.0692251048293571,0.0479372411359155,0.030810395598014,0.0237330765551991,0.0186578230309786,0.0149124647324012,0.013124436988667,0.0100802576315017,0.00912276919385811,0.0082885408770898,0.00820662087713947
-2.3,0.130547587088623,0.0740740740740741,0.052494180322235,0.0348862346660186,0.0274955476021858,0.0221271566421436,0.0181121486913258,0.0161737119660033,0.0128295661490628,0.0117630979648017,0.0108267099239198,0.0107343566873836
-2.2,0.135799748780092,0.0794044879039701,0.0575859759882354,0.0395469489515912,0.0318655076513184,0.0262205342246766,0.0219477875637483,0.0198642947902337,0.0162281371979526,0.0150546656424001,0.014017512663349,0.0139148431633676
-2.1,0.141463028121509,0.0852749345949837,0.0632826012748423,0.0448766249422994,0.0369355981064613,0.0310386221011093,0.0265276280760214,0.0243087936287785,0.0203976673673119,0.0191226279106405,0.017989437155391,0.0178769139281054
-2,0.147583617650433,0.091751709536137,0.0696629842794216,0.0509697394149291,0.042809664281488,0.0366940173853702,0.0319725036423601,0.0296327677232853,0.0254735343688466,0.0241060893655668,0.0228851732466258,0.0227636303307177
-1.9,0.154214114450333,0.0989096856252884,0.0768157716529995,0.057931652050664,0.0496030097336817,0.0433112287582205,0.0384155128580043,0.0359742128707013,0.0316038360559009,0.0301569570422356,0.0288602793528522,0.028730928413693
-1.8,0.161414467217095,0.106833174502533,0.0848399644506292,0.0658787916354461,0.0574422265972222,0.0510261215673396,0.0460010591026409,0.0434823508886502,0.038947622740686,0.0374379489335232,0.0360809697351948,0.0359453829414645
-1.7,0.169253027330333,0.115616713100786,0.093845320776705,0.0749383934241619,0.0664644483912776,0.0599846729545102,0.0548831055006681,0.0523155863982094,0.0476722146817021,0.0461196635015097,0.0447209434796201,0.0445810113638526
-1.6,0.177807684489353,0.125365675367322,0.103952381709662,0.0852476159125909,0.0768158539480058,0.0703408786281588,0.0652225097598415,0.0626385129031356,0.0579495317236184,0.0563766568734173,0.0549572219463339,0.0548150866166591
-1.5,0.187167041810999,0.1361965624455,0.115291932622411,0.0969518401212366,0.088649243494985,0.0822536632227201,0.0771833301908501,0.0746178855846263,0.0699514124292135,0.0683825290623444,0.0669650194110431,0.0668229859118098
-1.4,0.197431543288746,0.148236764659276,0.128003664374057,0.110201939964672,0.102120516977009,0.0958826760973182,0.0909280407017842,0.0884175323601276,0.0838439648522063,0.0823040874658258,0.0809117395301422,0.0807721706257573
-1.3,0.208714400160153,0.16162351590802,0.142233754363949,0.125150317085339,0.117383917696189,0.111382908603422,0.106611660556632,0.104192247756694,0.099781067763927,0.0982947317111833,0.0969502642077289,0.0968154660911345
-1.2,0.221142061623695,0.176501680389685,0.158131057349052,0.141945528353051,0.134585968413603,0.128898150362153,0.124374893694011,0.122080803842046,0.117897225109498,0.116487283609121,0.115211776162234,0.11508388425845
-1.1,0.234853827811632,0.193019935297729,0.175841597467326,0.160725410496317,0.153858127547045,0.14855341103406,0.144336478814987,0.142198313794946,0.138300061287871,0.136986563072948,0.135798425695989,0.135679300563366
-1,0.25,0.211324865405187,0.195501109477885,0.181608733824561,0.175308331410104,0.17044656615103,0.166585067957738,0.164628288585854,0.161062822550122,0.159862077892062,0.158776209042336,0.158667352165215
-0.9,0.266737708356574,0.231552506177648,0.217225516209019,0.204685600172312,0.199011759488645,0.194639631003041,0.191171066750493,0.189414824807213,0.186217311536741,0.18514124442164,0.184168463492101,0.184070961417893
-0.799999999999999,0.285223287477278,0.253817018041335,0.241099475875541,0.230007033451869,0.225001349734914,0.221150209570771,0.218098969581345,0.216555439128824,0.213747718909187,0.212803580284728,0.211950397414572,0.211864900266414
-0.699999999999999,0.305599887785785,0.278196512316433,0.267163499152382,0.257574474157408,0.2532587760978,0.249943785086442,0.247320791275055,0.245995108828915,0.243585820494373,0.242776303227187,0.242045056996301,0.241971794090058
-0.6,0.327979130377369,0.304716633528764,0.295400604026995,0.287330143690403,0.283706748418718,0.280927591014568,0.27873121755992,0.277622076420749,0.275607974964271,0.274931728784617,0.274321083966729,0.274259915416019
-0.5,0.352416382349567,0.333333333333333,0.325723982424076,0.319149435820465,0.316203567844642,0.313946802871486,0.312165056760038,0.311265921140512,0.309634283755886,0.309086782915443,0.308592540416938,0.308543039661617
-0.399999999999999,0.378881058409157,0.363917236512046,0.357967576987186,0.352836557416558,0.350540833585203,0.348783704829562,0.347397467888235,0.346698288120903,0.345430163708837,0.345004837203946,0.34462097163303,0.344582530262427
-0.299999999999999,0.407226420922258,0.396242830420089,0.39188164601996,0.388124521131638,0.386445025201068,0.3851603037829,0.384147267267776,0.383636501621881,0.382710440127652,0.382399940150152,0.382119752083622,0.382091695614666
-0.199999999999999,0.437167041810999,0.4299859957986,0.42713516462314,0.424680256997915,0.423583375744899,0.422744595690173,0.422083388487192,0.421750083483942,0.421145904121792,0.420943368101226,0.420760622161988,0.420742323956744
-0.0999999999999996,0.468274482569447,0.46473271920707,0.463326174400403,0.46211507057733,0.461574029802396,0.461160359282204,0.460834310035381,0.460669970672807,0.460372106826485,0.460272265547926,0.460182184511802,0.460173165015538
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.100000000000001,0.531725517430554,0.53526728079293,0.536673825599598,0.53788492942267,0.538425970197604,0.538839640717796,0.53916568996462,0.539330029327194,0.539627893173515,0.539727734452075,0.539817815488199,0.539826834984463
0.200000000000001,0.562832958189001,0.570014004201401,0.572864835376861,0.575319743002086,0.576416624255101,0.577255404309828,0.577916611512808,0.578249916516059,0.578854095878209,0.579056631898775,0.579239377838012,0.579257676043257
0.300000000000001,0.592773579077743,0.603757169579911,0.608118353980041,0.611875478868363,0.613554974798933,0.614839696217101,0.615852732732224,0.61636349837812,0.617289559872349,0.617600059849848,0.617880247916378,0.617908304385334
0.4,0.621118941590843,0.636082763487954,0.642032423012815,0.647163442583443,0.649459166414798,0.651216295170439,0.652602532111765,0.653301711879098,0.654569836291163,0.654995162796055,0.655379028366971,0.655417469737573
0.5,0.647583617650433,0.666666666666667,0.674276017575924,0.680850564179535,0.683796432155358,0.686053197128514,0.687834943239962,0.688734078859488,0.690365716244114,0.690913217084557,0.691407459583062,0.691456960338383
0.600000000000001,0.672020869622631,0.695283366471236,0.704599395973006,0.712669856309597,0.716293251581283,0.719072408985432,0.72126878244008,0.722377923579251,0.72439202503573,0.725068271215383,0.725678916033271,0.725740084583982
0.700000000000001,0.694400112214215,0.721803487683568,0.732836500847619,0.742425525842592,0.7467412239022,0.750056214913558,0.752679208724946,0.754004891171085,0.756414179505627,0.757223696772814,0.757954943003699,0.758028205909942
0.800000000000001,0.714776712522723,0.746182981958666,0.758900524124459,0.769992966548132,0.774998650265087,0.77884979042923,0.781901030418656,0.783444560871177,0.786252281090814,0.787196419715272,0.788049602585429,0.788135099733586
0.9,0.733262291643426,0.768447493822352,0.782774483790981,0.795314399827688,0.800988240511355,0.805360368996959,0.808828933249507,0.810585175192787,0.81378268846326,0.81485875557836,0.815831536507899,0.815929038582107
