x,pdf_1,cdf_1,quantile_1,pdf_2,cdf_2,quantile_2,pdf_5,cdf_5,quantile_5,pdf_10,cdf_10,quantile_10,pdf_100,cdf_100,quantile_100
-12.62000000000000099,1.98615466805972e-03,0.02517006151451366,NaN,4.88306204318319e-04,0.003110171478715736,NaN,1.07056616954943e-05,2.77456973307525e-05,NaN,6.80706103882054e-08,9.08275705753533e-08,NaN, 5.07935472620775e-22,1.03718860263947e-22,NaN
-12.60999999999999943,1.98928634886856e-03,0.02518993871344372,NaN,4.89454390433625e-04,0.003115060278702648,NaN,1.07551433298404e-05,2.78530011350358e-05,NaN,6.86313749732350e-08,9.15110763416617e-08,NaN, 5.33533470088884e-22,1.08925152338682e-22,NaN
-12.59999999999999787,1.99242542678888e-03,0.02520984726614807,NaN,4.90606167748339e-04,0.003119960578495067,NaN,1.08048907857071e-05,2.79608010834199e-05,NaN,6.91971561965741e-08,9.22002147968909e-08,NaN, 5.60426487300225e-22,1.14393846044188e-22,NaN
-12.58999999999999986,1.99557192508588e-03,0.02522978724671407,NaN,4.91761550268950e-04,0.003124872414074961,NaN,1.08549056888898e-05,2.80690998422397e-05,NaN,6.97680024518535e-08,9.28950363489773e-08,NaN, 5.88680278067282e-22,1.20138217624432e-22,NaN
-12.57999999999999829,1.99872586711611e-03,0.02524975872946222,NaN,4.92920552067335e-04,0.003129795821564698,NaN,1.09051896763269e-05,2.81779000941440e-05,NaN,7.03439626330630e-08,9.35955918922915e-08,NaN, 6.18363946151432e-22,1.26172217472132e-22,NaN
-12.57000000000000028,2.00188727632790e-03,0.02526976178894699,NaN,4.94083187281121e-04,0.003134730837227684,NaN,1.09557443961837e-05,2.82872045382064e-05,NaN,7.09250861400654e-08,9.43019328126675e-08,NaN, 6.49550116470720e-22,1.32510504477130e-22,NaN
-12.55999999999999872,2.00505617626177e-03,0.02528979649995783,NaN,4.95249470114043e-04,0.003139677497469043,NaN,1.10065715079382e-05,2.83970158900393e-05,NaN,7.15114228841787e-08,9.50141109924925e-08,NaN, 6.82315115083193e-22,1.39168482130392e-22,NaN
-12.55000000000000071,2.00823259055088e-03,0.02530986293752006,NaN,4.96419414836297e-04,0.003144635838836255,NaN,1.10576726824668e-05,2.85073368819065e-05,NaN,7.21030232938202e-08,9.57321788158449e-08,NaN, 7.16739158396559e-22,1.46162336473567e-22,NaN
-12.53999999999999915,2.01141654292147e-03,0.02532996117689578,NaN,4.97593035784912e-04,0.003149605898019849,NaN,1.11090496021311e-05,2.86181702628378e-05,NaN,7.26999383202201e-08,9.64561891736990e-08,NaN, 7.52906552078682e-22,1.53509075988764e-22,NaN
-12.53000000000000114,2.01460805719329e-03,0.02535009129358482,NaN,4.98770347364105e-04,0.003154587711854048,NaN,1.11607039608650e-05,2.87295187987447e-05,NaN,7.33022194431979e-08,9.71861954691783e-08,NaN, 7.90905900167136e-22,1.61226573527954e-22,NaN
-12.51999999999999957,2.01780715728005e-03,0.02537025336332568,NaN,4.99951364045651e-04,0.003159581317317464,NaN,1.12126374642630e-05,2.88413852725360e-05,NaN,7.39099186770130e-08,9.79222516228727e-08,NaN, 8.30830324902724e-22,1.69333610386717e-22,NaN
-12.50999999999999801,2.02101386718987e-03,0.02539044746209649,NaN,5.01136100369255e-04,0.003164586751533762,NaN,1.12648518296689e-05,2.89537724842354e-05,NaN,7.45230885762747e-08,9.86644120782098e-08,NaN, 8.72777697837676e-22,1.77849922632144e-22,NaN
-12.50000000000000000,2.02422821102570e-03,0.02541067366611590,NaN,5.02324570942916e-04,0.003169604051772342,NaN,1.13173487862656e-05,2.90666832510987e-05,NaN,7.51417822419314e-08,9.94127318068912e-08,NaN, 9.16850882798915e-22,1.86796249800654e-22,NaN
-12.48999999999999844,2.02745021298579e-03,0.02543093205184407,NaN,5.03516790443307e-04,0.003174633255449034,NaN,1.13701300751649e-05,2.91801204077336e-05,NaN,7.57660533273239e-08,1.00167266314385e-07,NaN, 9.63157991315664e-22,1.96194386087241e-22,NaN
-12.48000000000000043,2.03067989736416e-03,0.02545122269598366,NaN,5.04712773616147e-04,0.003179674400126775,NaN,1.14231974494993e-05,2.92940868062187e-05,NaN,7.63959560443108e-08,1.00928071645480e-07,NaN, 1.01181265115253e-21,2.06067234153942e-22,NaN
-12.46999999999999886,2.03391728855100e-03,0.02547154567548071,NaN,5.05912535276580e-04,0.003184727523516308,NaN,1.14765526745132e-05,2.94085853162246e-05,NaN,7.70315451694690e-08,1.01695204389902e-07,NaN, 1.06293428862245e-21,2.16438861692010e-22,NaN
-12.46000000000000085,2.03716241103317e-03,0.02549190106752565,NaN,5.07116090309554e-04,0.003189792663476874,NaN,1.15301975276558e-05,2.95236188251348e-05,NaN,7.76728760503629e-08,1.02468721687991e-07,NaN, 1.11664842538793e-21,2.27334560878989e-22,NaN
-12.44999999999999929,2.04041528939466e-03,0.02551228894955430,NaN,5.08323453670207e-04,0.003194869858016917,NaN,1.15841337986743e-05,2.96391902381692e-05,NaN,7.83200046118918e-08,1.03248681236446e-07,NaN, 1.17308699049664e-21,2.38780910879419e-22,NaN
-12.43999999999999773,2.04367594831703e-03,0.02553270939924874,NaN,5.09534640384250e-04,0.003199959145294782,NaN,1.16383632897083e-05,2.97553024785069e-05,NaN,7.89729873627080e-08,1.04035141294128e-07,NaN, 1.23238864843448e-21,2.50805843545219e-22,NaN
-12.42999999999999972,2.04694441257986e-03,0.02555316249453842,NaN,5.10749665548352e-04,0.003205060563619428,NaN,1.16928878153846e-05,2.98719584874108e-05,NaN,7.96318814017141e-08,1.04828160687928e-07,NaN, 1.29469914402119e-21,2.63438712480192e-22,NaN
-12.41999999999999815,2.05022070706129e-03,0.02557364831360106,NaN,5.11968544330536e-04,0.003210174151451135,NaN,1.17477092029129e-05,2.99891612243527e-05,NaN,8.02967444246353e-08,1.05627798818708e-07,NaN, 1.36017166501476e-21,2.76710365641240e-22,NaN
-12.41000000000000014,2.05350485673839e-03,0.02559416693486362,NaN,5.13191291970565e-04,0.003215299947402222,NaN,1.18028292921823e-05,3.01069136671400e-05,NaN,8.09676347306687e-08,1.06434115667297e-07,NaN, 1.42896722333645e-21,2.90653221657967e-22,NaN
-12.39999999999999858,2.05679688668771e-03,0.02561471843700339,NaN,5.14417923780343e-04,0.003220437990237771,NaN,1.18582499358591e-05,3.02252188120430e-05,NaN,8.16446112292144e-08,1.07247171800561e-07,NaN, 1.50125505587491e-21,3.05301350061604e-22,NaN
-12.39000000000000057,2.06009682208572e-03,0.02563530289894886,NaN,5.15648455144305e-04,0.003225588318876335,NaN,1.19139729994842e-05,3.03440796739223e-05,NaN,8.23277334466811e-08,1.08067028377541e-07,NaN, 1.57721304587726e-21,3.20690555624043e-22,NaN
-12.37999999999999901,2.06340468820927e-03,0.02565592039988084,NaN,5.16882901519827e-04,0.003230750972390687,NaN,1.19700003615727e-05,3.04634992863594e-05,NaN,8.30170615333781e-08,1.08893747155656e-07,NaN, 1.65702816598757e-21,3.36858467018135e-22,NaN
-12.37000000000000099,2.06672051043613e-03,0.02567657101923338,NaN,5.18121278437616e-04,0.003235925990008531,NaN,1.20263339137137e-05,3.05834807017858e-05,NaN,8.37126562704832e-08,1.09727390496973e-07,NaN, 1.74089694404661e-21,3.53844630021187e-22,NaN
