x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
-0.0999999999999996,0.315158303152268,0.350918216845074,0.365114443828518,0.377338129966431,0.382799334260551,0.38697522581518,0.39026687636407,0.391926080033445,0.394933576058456,0.395941724440808,0.396851347429902,0.39694242630858
0,0.318309886183791,0.353553390593274,0.367552596947861,0.379606689822494,0.384991450832267,0.389108383966031,0.392353162840078,0.393988585711433,0.396952679731114,0.397946186935894,0.398842557313858,0.398932306969108
0.100000000000001,0.315158303152268,0.350918216845074,0.365114443828518,0.377338129966431,0.382799334260551,0.38697522581518,0.39026687636407,0.391926080033445,0.394933576058456,0.395941724440808,0.396851347429902,0.39694242630858
0.200000000000001,0.306067198253645,0.343205902948042,0.357943794638456,0.37063997771397,0.376315935269963,0.380658181054449,0.384082518126786,0.385809186074119,0.388940056211505,0.389989894153923,0.390937283243678,0.391032151608077
0.300000000000001,0.292027418517239,0.330963858309127,0.346453574274542,0.35982432834901,0.365812300780187,0.370398461552745,0.374018696345112,0.375845416768084,0.379160022696888,0.380272167904157,0.381276095473381,0.381376641921955
0.4,0.274405074296371,0.315006396962857,0.331274372349258,0.345378075752733,0.351715215314911,0.356578533697904,0.360423931780788,0.362366509669361,0.365895349098292,0.367080569202626,0.368150989485867,0.368258223295471
0.5,0.254647908947033,0.296296296296296,0.313180911008829,0.327918531322747,0.334573253350165,0.339695136352078,0.343754570263132,0.345808612383742,0.349545860465179,0.35080283339233,0.351938830615914,0.352052674689817
0.600000000000001,0.234051386899846,0.275823963942423,0.293010679964813,0.30814100972342,0.315015547159282,0.320325810529124,0.324546929575173,0.326687088956204,0.330588659950007,0.331903161512453,0.333092147339281,0.333211354227037
0.700000000000001,0.213630796096504,0.254507731134328,0.271588359088246,0.286765457576698,0.293708134519167,0.299092417736852,0.303386246062946,0.305568112301871,0.309554339053882,0.310899922181503,0.312118152871504,0.312240351522894
0.800000000000001,0.194091394014506,0.233127823824494,0.249665904822089,0.264488356807957,0.271312505116543,0.276625132338256,0.280875100325164,0.283039350160114,0.287001769875081,0.288341815501446,0.289556141662107,0.289678007271249
0.9,0.175861815571155,0.212295368780033,0.227883065873806,0.24194434361359,0.24845006240501,0.253529950559827,0.257603803396624,0.259681943165485,0.263493179771119,0.264784039382843,0.265954660827239,0.266072186299658
1,0.159154943091895,0.192450089729875,0.206748335783172,0.219679797350981,0.225674920275458,0.230361989229139,0.23412477288673,0.236045649126701,0.23957106205869,0.240765896928546,0.241849789552338,0.241958626487008
1.1,0.144031622707597,0.173877125291572,0.186637029385455,0.198138590803346,0.203456054014793,0.207605913164214,0.210932311335266,0.212628548772632,0.215738206954067,0.216791071737925,0.217745694215758,0.217841525020316
1.2,0.130454871386799,0.156733681981742,0.167801587357497,0.177658613464935,0.182168574189738,0.185663893626703,0.188448517261121,0.18986214967139,0.192441782452711,0.193311504366291,0.194098384399826,0.194177285779261
1.3,0.118330812707729,0.141078375689798,0.150389085907536,0.158476735728982,0.162092955089521,0.164850692968019,0.167015407266292,0.168102161729108,0.170061998490267,0.170715461849905,0.171303301883985,0.171362063302293
1.4,0.10753712371074,0.12689871404788,0.134461716820481,0.140739547894914,0.143420491677622,0.145394875660006,0.14689277894673,0.147624713854038,0.148905492533548,0.149320038919019,0.149687060560057,0.14972342859681
1.5,0.0979415034411664,0.114134411781804,0.120017174513587,0.124517344646355,0.126263061285961,0.127444794287092,0.128260944906576,0.128627382972146,0.12920321834422,0.12936799740683,0.129503348676266,0.129516178255516
1.6,0.0894128893774692,0.102695812673431,0.10700705749349,0.109819252655991,0.110665353739552,0.111077877296983,0.111227234119244,0.111234138022305,0.111112330476218,0.111028566563921,0.110932731000738,0.110922035783852
1.7,0.0818277342374783,0.092477634283463,0.0953523532023356,0.0966079487139117,0.0966180080028322,0.0963118096332291,0.0958350791351374,0.0955031665274652,0.0947213523031158,0.0944016103933883,0.094085866677821,0.0940527719940049
1.8,0.0750730863641016,0.0833687076966639,0.0849557592797386,0.0848129628969037,0.0840704591108327,0.0831163896538795,0.0820745591003212,0.0814365366168182,0.0800578006913858,0.0795244283967664,0.0790095008847295,0.0789561121224813
1.9,0.0690476976537507,0.0752585260108287,0.0757110180680432,0.0743420300331962,0.0729426790440714,0.0714251070328024,0.0698934125260459,0.0689907283891368,0.0670974112302964,0.0663803939818074,0.0656944995451938,0.0656237059894472
2,0.0636619772367581,0.0680413817439772,0.0675096606638929,0.0650903103262165,0.063135337302662,0.0611457663212182,0.0592077316346645,0.058087215247357,0.055774151649801,0.0549086432954097,0.0540851740097559,0.054000412160239
2.1,0.0588373172243605,0.0616187601820096,0.0602456353895099,0.0569475441721704,0.0545381833965884,0.0521697426043549,0.0499117672296845,0.0486224580841845,0.0459903101172316,0.0450140938132972,0.0440891786985091,0.0439941800679715
2.2,0.0545051174972244,0.0559005199489673,0.0538182881568023,0.049803352151145,0.0470366557262692,0.0443796766142456,0.0418864821760009,0.0404768664331342,0.037626079837937,0.036577180701022,0.0355873470618479,0.0354858936458952
